Predicted Winner,Underdog,Win Probability
E Michigan,Richmond,0.753746
Northeastern,Kennesaw,0.83829254
UC San Diego,Columbia,0.6720561
Florida St,NE Illinois,0.7252579
Jacksonville,Jackson St,0.8530887
Rider,Bowling Green,0.59884703
Air Force,North Texas,0.5891706
Drake,Hardin-Simmons,0.7132941
Oklahoma St,Furman,0.6182904
Villanova,Armstrong St,0.60892284
Washington,S Carolina St,0.5904535
Clemson,Oakland,0.79651314
Abilene Chr,Mt St Mary's,0.6126505
Canisius,Florida,0.93707764
East Texas A&M,SE Louisiana,0.70299685
WKU,Virginia,0.756108
SMU,Kennesaw,0.9407335
UC Santa Barbara,Iowa St,0.71648955
Bowling Green,NE Illinois,0.74592954
UCF,DePaul,0.5360798
Lafayette,Seattle,0.9326991
St Bonaventure,Iona,0.86451983
Augusta,Texas St,0.52296543
UMBC,Clemson,0.88270354
Kent,Howard,0.7259865
Cincinnati,Yale,0.5922778
American Univ,St Francis NY,0.516628
Nicholls St,Colorado St,0.9050292
PFW,Hampton,0.53989995
George Mason,Kansas St,0.57686466
Montana St,Okla City,0.54389197
West Georgia,Washington,0.8197826
Cincinnati,UNC Asheville,0.52638894
Missouri,Louisiana Tech,0.90800303
TX Southern,San Jose St,0.77968514
Stonehill,Hawaii,0.6269249
Iowa,SE Louisiana,0.8633518
Toledo,Mt St Mary's,0.9617888
W Carolina,Wichita St,0.8369005
NC A&T,Iowa,0.57833207
Ga Southern,Jacksonville St,0.80627656
Louisville,William & Mary,0.6223731
USC,Troy,0.8494611
Georgia Tech,Columbia,0.9002731
High Point,Houston,0.8331656
Tarleton St,St John's,0.5712189
Loyola-Chicago,UCF,0.71940994
Georgetown,William & Mary,0.93767655
Kansas St,C Michigan,0.7407372
Florida A&M,Columbia,0.5469068
Troy,South Carolina,0.85446084
Radford,West Georgia,0.95195204
Montana St,Pittsburgh,0.6847369
TAM C. Christi,W Salem St,0.85842615
Idaho,Drexel,0.525196
Air Force,Hawaii,0.51343733
Presbyterian,Southern Univ,0.8891991
Mercer,Brooklyn,0.7814614
UTRGV,Lafayette,0.86904365
La Salle,Wisconsin,0.9057765
St Louis,Auburn,0.53592384
MA Lowell,E Kentucky,0.95128196
Col Charleston,NC Central,0.8048807
Utah Tech,UC Riverside,0.67034507
Bryant,TCU,0.86929536
Pepperdine,Maine,0.66517836
Penn,Tarleton St,0.5230712
Wake Forest,Stanford,0.927378
UCF,Miami OH,0.59639233
Mt St Mary's,Florida,0.7292068
Howard,C Michigan,0.8517173
Canisius,SC Upstate,0.98419595
Binghamton,Tulane,0.6032419
IUPUI,Alcorn St,0.9801876
Delaware,Kennesaw,0.83242697
Armstrong St,Oklahoma St,0.6337196
NE Illinois,Navy,0.66598
SUNY Albany,Dartmouth,0.56464475
Missouri,Sam Houston St,0.5202211
Longwood,Alcorn St,0.96626073
Southern Indiana,Temple,0.7288176
Maine,William & Mary,0.9414475
C Michigan,Illinois St,0.74286693
N Dakota St,Northwestern LA,0.5952717
Georgia St,Colgate,0.81342804
Auburn,UC Riverside,0.521459
USC,Grand Canyon,0.8280985
Indiana,Queens NC,0.8581416
San Diego St,IUPUI,0.8529892
Connecticut,South Carolina,0.81007993
NC A&T,Ga Southern,0.56661713
Texas,Lamar,0.70241106
Denver,UC Irvine,0.67004305
Florida Intl,New Mexico St,0.80574554
N Illinois,Mississippi St,0.59127206
Gonzaga,Colorado,0.86976016
Merrimack,McNeese St,0.870929
Central Conn,Charleston So,0.736601
Birmingham So,Richmond,0.7968108
Delaware,FL Atlantic,0.94183534
Long Beach St,William & Mary,0.6922179
CS Fullerton,SE Missouri St,0.64628005
Morehead St,Ga Southern,0.58768165
Southern Indiana,Montana,0.6666322
Hofstra,Minnesota,0.7374546
Sam Houston St,South Carolina,0.5619445
American Univ,UTRGV,0.64450526
Tennessee,Stonehill,0.91722804
La Salle,Chicago St,0.734554
High Point,St Thomas MN,0.9557086
Detroit,Mercer,0.9538219
Idaho,Howard,0.56339645
South Dakota,Louisville,0.5608543
Rice,Utah St,0.544171
New Orleans,Arizona,0.9548246
San Jose St,St John's,0.9148479
Oregon,Oklahoma,0.6665589
Tarleton St,Gonzaga,0.71556014
Morris Brown,Youngstown St,0.80086184
Colgate,Virginia Tech,0.8366093
Southern Indiana,North Dakota,0.50707644
Georgia Tech,Vanderbilt,0.7468001
Citadel,Dartmouth,0.61366135
Delaware St,Wofford,0.73724216
Niagara,Northwestern LA,0.6765157
Memphis,St John's,0.67914724
Utah Tech,Delaware St,0.640066
Siena,VMI,0.5814364
Col Charleston,Dartmouth,0.5081933
Norfolk St,Nicholls St,0.5542362
Canisius,North Carolina,0.54454136
South Dakota,Southern Miss,0.96038187
Michigan,Charleston So,0.7898898
Ohio St,Rice,0.60719347
SC Upstate,Manhattan,0.5420748
Le Moyne,Southern Utah,0.9722679
UNC Greensboro,W Michigan,0.72283024
UTRGV,CS Fullerton,0.5668938
Okla City,CS Fullerton,0.9023056
UMBC,Memphis,0.6381393
Holy Cross,North Dakota,0.7478566
Alliant Intl,Liberty,0.80939937
NC Central,Winthrop,0.9757284
Louisville,Mississippi,0.63374233
Florida A&M,Ark Pine Bluff,0.69836164
Arkansas,UTRGV,0.74885726
CS Fullerton,Louisiana Tech,0.69445586
Rhode Island,Hawaii,0.86710995
San Diego,Army,0.83805734
New Mexico,Charlotte,0.77401346
SE Missouri St,C Michigan,0.87097657
Oakland,Indiana St,0.9022559
Marquette,Stetson,0.6875181
Ark Pine Bluff,Yale,0.998359
Grand Canyon,Stonehill,0.65234107
California,New Mexico,0.8696164
North Florida,Duquesne,0.81824446
Clemson,Evansville,0.63951814
Loyola-Chicago,UC Davis,0.8325827
Furman,Tennessee Tech,0.52184194
Chicago St,Missouri KC,0.66068894
Ga Southern,Maine,0.5395349
Drake,Chattanooga,0.55925065
North Carolina,Lamar,0.7681231
Villanova,Murray St,0.79550165
Michigan,Portland St,0.94023967
TCU,Mississippi St,0.92956024
Robert Morris,Louisiana,0.63415825
UC San Diego,Tennessee Tech,0.9314033
Montana St,FGCU,0.77038604
Richmond,Northeastern,0.6433602
San Diego,MD E Shore,0.9109309
Delaware St,Akron,0.7408316
NC Central,Dayton,0.8585673
West Georgia,North Dakota,0.5733793
Harvard,Marshall,0.6960442
California,Wake Forest,0.9172423
Kent,UNC Asheville,0.78162915
Ark Pine Bluff,Okla City,0.5952872
G Washington,Arkansas,0.75682163
West Georgia,Armstrong St,0.7496382
Pepperdine,La Salle,0.9405459
Washington,Harvard,0.59540844
Pepperdine,Penn,0.9904259
St Peter's,Sam Houston St,0.83173794
Queens NC,Providence,0.72060937
Old Dominion,Harvard,0.93308693
Virginia Tech,Rutgers,0.6425252
Cincinnati,Boston College,0.5256282
TN Martin,Texas St,0.9934567
Detroit,American Univ,0.6057476
San Jose St,W Texas A&M,0.71463054
Duke,Armstrong St,0.87638533
Yale,Utah St,0.5938631
N Illinois,Valparaiso,0.6416811
Cleveland St,Texas A&M,0.5587943
Missouri KC,Cleveland St,0.93772686
Hartford,Presbyterian,0.73822534
UCLA,Santa Clara,0.74967694
Utah,Seton Hall,0.8522308
Loyola MD,Col Charleston,0.840268
WI Green Bay,UCLA,0.98840976
Indiana,Cincinnati,0.9836281
Kentucky,Florida A&M,0.53865045
W Salem St,Tulsa,0.8758457
Hartford,Youngstown St,0.80404526
FGCU,North Dakota,0.820452
W Salem St,Fresno St,0.96751416
Elon,N Illinois,0.74918926
Utah St,TAM C. Christi,0.8931919
UC Santa Barbara,Kennesaw,0.5765086
Georgetown,Campbell,0.93863034
Akron,Utah Valley,0.8696435
William & Mary,W Michigan,0.6681971
North Dakota,Samford,0.5359694
Akron,Oregon St,0.7217268
Norfolk St,G Washington,0.9195437
Utah Tech,ULM,0.6435489
Harvard,Mississippi St,0.7157718
SIUE,William & Mary,0.53010154
PFW,Pepperdine,0.95536417
Connecticut,Oregon,0.7350907
Baylor,TCU,0.5926459
S Dakota St,UTRGV,0.57810944
Baylor,Stetson,0.68102676
North Texas,Northwestern LA,0.54891753
Campbell,WKU,0.7693247
Boston Univ,McNeese St,0.8513836
West Virginia,Wichita St,0.8132397
Kent,NE Omaha,0.6562511
Alliant Intl,Jacksonville St,0.6112548
Missouri St,Oklahoma St,0.8368068
Washington,Michigan St,0.90529454
Sam Houston St,W Illinois,0.503741
Louisville,Radford,0.8010181
Stony Brook,E Michigan,0.9319586
Quinnipiac,Le Moyne,0.8701775
Boise St,Gardner Webb,0.6766135
Iowa St,Butler,0.6978229
San Jose St,Florida St,0.52533084
Davidson,UC Santa Barbara,0.94100785
Nevada,Ark Little Rock,0.9370281
Missouri,Texas,0.69714427
Coppin St,SIUE,0.96026784
SE Missouri St,SMU,0.8732999
Providence,St Joseph's PA,0.60907835
Illinois St,San Jose St,0.93019414
East Carolina,Princeton,0.99386334
Bucknell,Wagner,0.5284179
W Carolina,Notre Dame,0.9354761
PFW,Nicholls St,0.9897516
Lamar,UTRGV,0.85991585
UC Riverside,Rider,0.5517311
James Madison,Jackson St,0.9300385
NC State,Arkansas,0.9184798
Virginia Tech,Montana St,0.6591705
N Dakota St,CS Northridge,0.54705876
Wyoming,UC Riverside,0.71927786
Air Force,Wichita St,0.51798445
Rice,Oregon St,0.51583683
Northeastern,SC Upstate,0.7854693
Texas Tech,Duquesne,0.6400547
NC Central,UTRGV,0.97446424
Cleveland St,Clemson,0.9193268
Iona,Ohio St,0.7731963
Ohio,Centenary,0.7854149
Auburn,Maryland,0.94045806
Southern Utah,SE Missouri St,0.674651
ETSU,Morris Brown,0.9524089
East Texas A&M,Princeton,0.64653176
Tulane,Marquette,0.8278104
Seattle,Maryland,0.8473351
Massachusetts,Miami FL,0.8831391
Penn,St Thomas MN,0.90232444
Longwood,Notre Dame,0.94117206
Stonehill,New Mexico St,0.69976866
Nevada,Houston Chr,0.5940541
Bradley,Marshall,0.82675326
Clemson,Syracuse,0.5768898
Florida Intl,Duke,0.8647593
Cal Poly,DePaul,0.86464167
UNC Greensboro,South Florida,0.7153657
BYU,Boston College,0.58456945
Dartmouth,Weber St,0.5237763
UTEP,Morgan St,0.94620615
PFW,Mt St Mary's,0.68330306
Connecticut,USC,0.79641855
MD E Shore,Ohio,0.73865885
Florida St,Penn,0.55161
Butler,Wofford,0.9373782
NC A&T,UMBC,0.54095036
UC Davis,Iowa,0.68110347
Bethune-Cookman,Loy Marymount,0.74276364
Tennessee,Memphis,0.7914228
DePaul,San Diego St,0.51342803
California,E Illinois,0.71463895
E Michigan,Creighton,0.8141848
Iowa,Wright St,0.8149958
Austin Peay,North Texas,0.8899135
Cincinnati,Gonzaga,0.9559516
South Alabama,North Texas,0.96271586
Northeastern,Stetson,0.56325006
E Illinois,Morris Brown,0.7534169
Rice,Pacific,0.53671443
N Colorado,Houston Chr,0.6923573
Cleveland St,Miami FL,0.8668233
Jackson St,Belmont,0.7899685
Cal Poly,UAB,0.6913289
Austin Peay,Vermont,0.777255
Central Conn,Ohio St,0.607132
N Illinois,La Salle,0.805194
MS Valley St,Towson,0.80869156
NC Central,New Mexico,0.63997793
Morehead St,Fordham,0.85630155
SF Austin,Butler,0.8219845
UAB,Northern Iowa,0.72990096
Texas A&M,Binghamton,0.589417
UC Riverside,William & Mary,0.782589
UT Arlington,Miami OH,0.67438793
Memphis,CS Sacramento,0.9245957
Loyola-Chicago,UC Santa Barbara,0.56136006
Kansas St,G Washington,0.926911
Seton Hall,Hartford,0.8654004
Rhode Island,Stetson,0.88753
Lipscomb,UMBC,0.9056186
Kent,North Texas,0.5739722
Wright St,Niagara,0.93986905
Hardin-Simmons,Marshall,0.63666624
Kansas St,North Alabama,0.7925235
Boise St,Oral Roberts,0.7735244
USC,UNLV,0.9118139
BYU,Murray St,0.90054256
Texas Tech,American Univ,0.8422873
San Francisco,UC Santa Barbara,0.57174796
Loy Marymount,Butler,0.74683857
Cleveland St,Radford,0.8303593
UNC Greensboro,Liberty,0.907825
Tennessee Tech,WI Green Bay,0.80161303
Lamar,E Illinois,0.8917084
Austin Peay,St Francis PA,0.8446396
Mercer,UC Riverside,0.8858446
Hampton,IL Chicago,0.88044655
Marist,Colorado St,0.83482826
Morehead St,South Florida,0.7919196
Cleveland St,TX Southern,0.5670574
East Carolina,Butler,0.7752182
Toledo,NC State,0.7436284
N Kentucky,Georgetown,0.89243776
Louisiana,Nebraska,0.6993339
Appalachian St,DePaul,0.76541865
Detroit,American Univ,0.65845126
Maryland,Clemson,0.7633272
UC Davis,Gonzaga,0.5920401
F Dickinson,ETSU,0.9645443
Austin Peay,Purdue,0.55899346
Bradley,CS Northridge,0.9598567
Creighton,Alabama St,0.79617083
Wofford,American Univ,0.64496607
UNC Wilmington,Kentucky,0.8905973
Holy Cross,Loyola MD,0.9013692
Jacksonville,UNC Wilmington,0.7059418
Quinnipiac,Long Beach St,0.7652185
Iowa St,Texas,0.81351936
Alabama,Georgia Tech,0.90915644
Lipscomb,Jackson St,0.7921845
Utah Valley,American Univ,0.8621216
Kentucky,Utica,0.72224474
Alcorn St,Rice,0.714918
VCU,Alabama St,0.55869436
West Georgia,Arizona St,0.9685
Chicago St,S Carolina St,0.71140736
Penn St,Akron,0.5121709
Dartmouth,North Dakota,0.7887839
Gardner Webb,BYU,0.75448877
Texas Tech,Samford,0.87201
Loyola MD,Yale,0.78983635
Buffalo,Iowa St,0.8851909
Col Charleston,Boston College,0.8339272
Charleston So,Notre Dame,0.9005073
SIUE,Creighton,0.5326175
Arizona,West Virginia,0.93331623
Texas St,Texas,0.5027851
Binghamton,Pepperdine,0.6690099
Elon,St Thomas MN,0.91622347
N Illinois,Troy,0.8823144
NC Central,St Francis NY,0.6404035
High Point,F Dickinson,0.9065878
Southern Utah,Mercer,0.7689952
Grambling,Tennessee,0.9458094
Rhode Island,UNC Wilmington,0.7463156
Southern Indiana,G Washington,0.9049607
Cal Poly,Rutgers,0.5740571
Pepperdine,Florida St,0.5660617
North Texas,Morgan St,0.88037974
Oregon St,Marshall,0.8140768
Denver,Cleveland St,0.7229906
Lipscomb,Georgia,0.58510596
Georgia St,UCF,0.5393848
Savannah St,BYU,0.8998465
TAM C. Christi,Georgia St,0.5244306
Rice,Arkansas St,0.5676093
Hawaii,Tarleton St,0.6053021
American Univ,Baylor,0.56530124
San Francisco,Boston College,0.7042706
Old Dominion,Wofford,0.804867
George Mason,Penn St,0.8013472
TX Southern,Merrimack,0.556688
CS Northridge,Kansas,0.58751976
Rice,PFW,0.90428025
San Diego,UNC Greensboro,0.86174136
Elon,WI Milwaukee,0.5637095
Drake,Boston College,0.75679076
Augusta,Tarleton St,0.7711222
Bradley,Ohio St,0.6785373
Appalachian St,Ball St,0.8275138
Morehead St,Mississippi St,0.51393473
Providence,Yale,0.91281974
Alabama,SE Missouri St,0.86616313
Siena,SC Upstate,0.75202346
Weber St,Utica,0.8926984
E Michigan,Penn St,0.66039866
Air Force,S Illinois,0.98509544
Austin Peay,Arizona,0.72903323
New Orleans,Marquette,0.64352584
Northwestern LA,TCU,0.5735431
Austin Peay,Xavier,0.79546463
Florida,North Alabama,0.5124666
Buffalo,Dayton,0.50306785
Gardner Webb,Duke,0.5650361
Utica,Jackson St,0.65165603
Winthrop,WI Green Bay,0.81841636
Longwood,Citadel,0.5029193
Mississippi St,Seattle,0.5871441
Texas Tech,Utah,0.6081449
Marquette,Coppin St,0.96307474
Vermont,High Point,0.6675486
Wake Forest,Portland,0.53759956
San Diego,C Michigan,0.8296075
Augusta,UMBC,0.9630071
Austin Peay,Ark Pine Bluff,0.9618677
Missouri St,Coastal Car,0.7581489
Boise St,SC Upstate,0.81946623
Oklahoma St,SE Missouri St,0.76276803
Stony Brook,C Michigan,0.6730325
Indiana St,Akron,0.78155094
Morris Brown,Lafayette,0.85351586
Pittsburgh,W Salem St,0.5418584
Florida St,St Peter's,0.5238418
Northwestern,New Mexico St,0.8582756
Fresno St,McNeese St,0.9514206
Marshall,Chattanooga,0.5088266
LSU,E Illinois,0.65374625
Hardin-Simmons,Missouri,0.6809871
Wake Forest,Coastal Car,0.9370421
FGCU,Lindenwood,0.6102872
Jackson St,West Georgia,0.9671827
Kansas,Indiana St,0.90488255
Lafayette,Michigan,0.62494445
Incarnate Word,SC Upstate,0.65424836
Mississippi,Alabama St,0.8427421
Winthrop,Siena,0.97397804
Morris Brown,Louisiana Tech,0.5211785
Florida,Wright St,0.9583622
Seattle,NC Central,0.6099031
Utica,St Joseph's PA,0.7830753
Longwood,Abilene Chr,0.86626077
Southern Utah,Presbyterian,0.8645944
SC Upstate,Ga Southern,0.613014
McNeese St,North Alabama,0.6689422
McNeese St,Xavier,0.658319
Columbia,Hardin-Simmons,0.6922374
PFW,Georgia St,0.7862012
Appalachian St,North Carolina,0.6171148
E Kentucky,Princeton,0.86724806
Radford,Portland,0.51280236
NC State,Kennesaw,0.6158236
Wyoming,St Peter's,0.98302114
Ark Little Rock,ULM,0.64936435
W Texas A&M,Kansas St,0.87589675
Furman,Charleston So,0.93005407
Austin Peay,Siena,0.6666678
Cal Poly,Florida,0.79748225
Ohio St,CS Northridge,0.68112355
Texas St,Utah St,0.6353212
MS Valley St,Virginia,0.8335411
LSU,Air Force,0.91715693
Pittsburgh,Rutgers,0.6992525
Belmont,Presbyterian,0.9066637
Hawaii,Morehead St,0.56037796
Prairie View,DePaul,0.9147003
Ark Pine Bluff,UNLV,0.9713079
Wake Forest,Texas St,0.8531412
Georgia St,UAB,0.86020905
Lindenwood,Birmingham So,0.5642641
Mercyhurst,Indiana St,0.61456406
Delaware,Canisius,0.8093307
Weber St,Arkansas,0.6888319
IUPUI,Michigan St,0.8897358
Purdue,Michigan St,0.6773903
Binghamton,South Carolina,0.8609557
St Peter's,Furman,0.99848616
Xavier,Stonehill,0.6198981
Belmont,S Dakota St,0.7497359
Lindenwood,Hampton,0.68054533
WI Milwaukee,Arizona,0.6856691
CS Bakersfield,North Alabama,0.9290121
WKU,Memphis,0.55435264
TCU,Creighton,0.84545714
Pacific,ULM,0.7038362
Hawaii,Iowa St,0.6833417
Nebraska,Stetson,0.77068925
Stonehill,Mercyhurst,0.6744274
Iowa,Troy,0.65878874
UCF,Stony Brook,0.97735023
Tarleton St,Lehigh,0.9204422
Missouri KC,WKU,0.7659138
Norfolk St,Xavier,0.5690658
James Madison,Portland,0.6110225
Fresno St,MS Valley St,0.6103761
Mt St Mary's,Georgia St,0.88645357
Sacred Heart,Oregon St,0.8922633
New Mexico,Hardin-Simmons,0.6931355
Oral Roberts,Fordham,0.5503364
Washington,Appalachian St,0.8111654
Mississippi St,Wofford,0.9226371
Xavier,Fresno St,0.81762624
E Kentucky,TX Southern,0.6361732
Missouri,SE Louisiana,0.5506772
UNC Greensboro,Manhattan,0.94917554
Brown,Evansville,0.6702439
Richmond,Georgia Tech,0.6991089
Gonzaga,Monmouth NJ,0.73553723
South Alabama,High Point,0.9897494
Georgia Tech,New Mexico,0.65117943
Jacksonville St,Troy,0.53317213
Indiana St,Ball St,0.75499165
Buffalo,Montana St,0.71039724
Southern Miss,Cent Arkansas,0.95007557
Incarnate Word,Massachusetts,0.9416771
Southern Indiana,Mercer,0.9257925
Richmond,Seattle,0.636396
Wofford,Utah Valley,0.5567757
Michigan,NC Central,0.521475
Nicholls St,Chicago St,0.86971825
UNLV,TX Southern,0.7581424
St Mary's CA,Dayton,0.93104273
Kent,S Illinois,0.80624986
Norfolk St,Murray St,0.5220797
Xavier,WKU,0.79763544
SF Austin,NC A&T,0.8217398
Missouri KC,Morris Brown,0.8049458
Ball St,E Illinois,0.60142577
Northwestern LA,Lehigh,0.92141116
N Illinois,Virginia,0.65174323
Gardner Webb,Manhattan,0.8057342
Clemson,McNeese St,0.9335658
Missouri St,Maryland,0.81088066
Massachusetts,Army,0.9071673
Wright St,ETSU,0.7914406
Hartford,E Kentucky,0.50017506
Southern Indiana,Bryant,0.63203406
Alabama St,Fordham,0.6826556
S Illinois,Brown,0.8580704
Hardin-Simmons,Liberty,0.9226738
Georgetown,West Georgia,0.8128782
Rice,Arkansas,0.95038706
Wagner,Florida Intl,0.7394703
UMBC,Richmond,0.72758746
Le Moyne,West Georgia,0.97587407
Campbell,Mt St Mary's,0.5568456
Nebraska,Ohio St,0.53646785
Kansas St,Dartmouth,0.7194162
MS Valley St,Bowling Green,0.7365909
Rice,Sacred Heart,0.66969526
Stanford,American Univ,0.9304335
Colorado,Bryant,0.91456175
Colorado,NC A&T,0.5557629
St Mary's CA,Davidson,0.91056037
Miami OH,Boise St,0.7926315
W Carolina,Wyoming,0.74545115
Col Charleston,Tennessee,0.93880177
St Bonaventure,Navy,0.9279227
Lipscomb,Missouri St,0.9929354
Texas,Wyoming,0.9336082
DePaul,SIUE,0.6581014
George Mason,Col Charleston,0.7927827
South Dakota,Binghamton,0.5253507
UNC Wilmington,Rice,0.8956393
Purdue,Penn,0.90212125
Georgetown,Merrimack,0.9224386
Colorado,North Carolina,0.63181305
Drexel,Southern Univ,0.8583519
BYU,Utah Valley,0.85753036
Ohio,SE Missouri St,0.73926675
Alabama A&M,Stonehill,0.9199881
Stony Brook,Seattle,0.88527
San Diego,Arkansas,0.9283686
Texas Tech,UNC Greensboro,0.8716292
East Texas A&M,PFW,0.5321467
Appalachian St,Florida St,0.6778811
Pacific,MS Valley St,0.6877616
Bryant,Morgan St,0.82899463
Maine,Idaho St,0.83715
Massachusetts,Tennessee St,0.6809609
Cincinnati,Weber St,0.9168051
Bryant,Army,0.8500905
Austin Peay,Florida St,0.63378954
W Salem St,Delaware,0.5882934
UTRGV,Evansville,0.806345
SUNY Albany,Delaware St,0.76628
Louisiana Tech,Fresno St,0.98294705
Morris Brown,Stanford,0.73502487
Dartmouth,Loyola-Chicago,0.6745306
Samford,CS Northridge,0.87850803
SUNY Albany,St Joseph's PA,0.5078785
WI Green Bay,Boston Univ,0.5603403
Bethune-Cookman,Coppin St,0.9478286
Seton Hall,MD E Shore,0.5311085
Illinois,Yale,0.9678323
Belmont,Cal Baptist,0.85451543
Lamar,Morgan St,0.9643385
Tulsa,Massachusetts,0.6125807
Southern Univ,Delaware St,0.97137535
Jacksonville,Utah,0.7832291
Southern Miss,Murray St,0.5302223
St Louis,Colgate,0.7794948
Savannah St,Marist,0.90869075
Northwestern LA,Northwestern,0.52053267
St Francis PA,Wofford,0.691239
Col Charleston,Oral Roberts,0.9653997
Tulane,Arizona,0.8981474
SC Upstate,Col Charleston,0.9736849
Wagner,Utah,0.7813167
Yale,Louisville,0.6468148
Jacksonville,Virginia,0.611357
Houston,Alcorn St,0.94107544
UC Davis,Augusta,0.7532598
Montana St,CS Bakersfield,0.6380427
Delaware St,C Michigan,0.9154544
Tulane,Augusta,0.91699815
Cincinnati,Iowa,0.71326363
Washington St,UC Irvine,0.894392
North Carolina,Hardin-Simmons,0.62975466
Northwestern,Longwood,0.85437506
Texas Tech,Texas A&M,0.9963764
Texas A&M,Baylor,0.74023736
California,Drake,0.8457518
Northeastern,Cal Baptist,0.7215019
Purdue,Gardner Webb,0.660936
Richmond,Harvard,0.5090393
Weber St,Brooklyn,0.5441634
Bryant,NC Central,0.9368677
Queens NC,New Hampshire,0.6764257
Penn St,South Alabama,0.91081446
Valparaiso,UTRGV,0.7440812
Winthrop,Cornell,0.9080484
Towson,Armstrong St,0.6933203
Penn St,Tulane,0.7548085
Jacksonville St,Wisconsin,0.926964
New Hampshire,Alcorn St,0.91470104
Northern Iowa,S Carolina St,0.96158886
Richmond,New Hampshire,0.5026167
Canisius,Coppin St,0.8647121
W Texas A&M,Colorado St,0.7654789
Arizona,Alcorn St,0.9818335
Belmont,N Illinois,0.604102
Vanderbilt,Incarnate Word,0.7990783
Liberty,Providence,0.5675589
Kentucky,W Texas A&M,0.63762534
Oregon St,Florida,0.7655592
Arizona,Alabama,0.9866496
Chattanooga,Boston College,0.857145
Norfolk St,Furman,0.50387096
West Georgia,Portland St,0.5695886
North Dakota,Mississippi,0.60287756
Cornell,Murray St,0.71079236
Texas,St John's,0.9147555
Illinois,New Hampshire,0.7812782
Appalachian St,Charlotte,0.5374065
La Salle,St Louis,0.7838799
San Diego St,Wyoming,0.93198174
Army,Lindenwood,0.7818339
Denver,Butler,0.93594986
Princeton,Canisius,0.6369517
Portland,Nebraska,0.5729896
UTEP,UNC Asheville,0.9590319
NC A&T,SMU,0.5652232
ULM,UNC Asheville,0.8850894
Cincinnati,Wofford,0.7639978
Louisiana Tech,Radford,0.85308915
WKU,UC Irvine,0.7538473
Bucknell,ULM,0.9310938
St Francis NY,Coppin St,0.6017123
Cal Poly,N Kentucky,0.9218738
UC Riverside,WI Green Bay,0.51412284
St Thomas MN,Missouri,0.6705087
Wichita St,NC Central,0.79863036
Iowa,Detroit,0.9625584
TX Southern,Minnesota,0.5403788
Ark Pine Bluff,Virginia,0.810767
North Texas,St Francis PA,0.6464677
Detroit,Iona,0.9344621
Clemson,Wagner,0.56228757
Elon,San Diego St,0.88327116
UC Santa Barbara,N Kentucky,0.7741837
N Colorado,IL Chicago,0.69547915
Cleveland St,Pittsburgh,0.73390186
W Illinois,Baylor,0.56501305
Col Charleston,Texas,0.9410757
Texas St,Fordham,0.65941757
Auburn,CS Sacramento,0.6810385
Marquette,TAM C. Christi,0.63425756
Siena,St Mary's CA,0.8514088
Louisville,North Carolina,0.80416703
Iowa,American Univ,0.69833094
Youngstown St,MS Valley St,0.9193288
Virginia,Illinois St,0.67659235
Michigan,LSU,0.8701565
G Washington,MA Lowell,0.59664893
E Washington,Bryant,0.7770011
UT Arlington,Hampton,0.97693664
Coppin St,VCU,0.9825151
New Orleans,Augusta,0.6837819
Miami OH,Miami FL,0.85515773
VCU,Montana,0.79971737
Radford,Youngstown St,0.574599
UNC Asheville,Vanderbilt,0.80161506
St John's,Iowa St,0.7129003
Bryant,Binghamton,0.71870255
Canisius,E Michigan,0.6209431
Tennessee,Weber St,0.7943954
Southern Utah,S Carolina St,0.52598405
NC Central,Tennessee Tech,0.876083
Queens NC,Vanderbilt,0.8997008
Air Force,LSU,0.9548832
Oklahoma St,Kansas St,0.61771905
Morehead St,Gardner Webb,0.8473785
SIUE,Kent,0.98417246
Bellarmine,Ball St,0.87884325
Marshall,Navy,0.6360612
Kansas St,Campbell,0.9668194
Indiana,Liberty,0.7388219
BYU,Samford,0.9366533
Villanova,Louisville,0.75489235
NE Illinois,St Mary's CA,0.8955936
UMBC,Air Force,0.50954735
Gonzaga,Holy Cross,0.74405205
UC Irvine,UT San Antonio,0.5822656
Bradley,Tarleton St,0.82057667
Bradley,Bowling Green,0.5331787
Robert Morris,Long Beach St,0.9620182
E Kentucky,Prairie View,0.9032164
Monmouth NJ,UAB,0.9107619
Alabama St,WI Milwaukee,0.8634621
San Jose St,Wofford,0.6584566
Hartford,MTSU,0.8100834
Memphis,Ga Southern,0.5321537
Appalachian St,Clemson,0.72865385
Florida,TAM C. Christi,0.5835002
Florida A&M,Villanova,0.5633304
Arkansas,Georgia Tech,0.6608327
Colorado St,Queens NC,0.7458382
Louisiana Tech,Weber St,0.9924947
Missouri,Boston College,0.9122248
Tarleton St,Ark Little Rock,0.5899024
CS Sacramento,MD E Shore,0.5139504
Lafayette,Seton Hall,0.8082483
St Louis,Southern Univ,0.74920595
Gonzaga,High Point,0.7839678
Southern Utah,Fordham,0.66169447
Delaware St,St Bonaventure,0.89783525
Niagara,Butler,0.9881188
Santa Clara,Towson,0.7884574
Cent Arkansas,Notre Dame,0.6714532
Missouri St,Alabama St,0.90797824
Merrimack,Lindenwood,0.85409206
IUPUI,Idaho St,0.600085
San Jose St,Tennessee,0.7601857
Youngstown St,NE Illinois,0.57980484
Syracuse,SMU,0.5497025
Wake Forest,Stanford,0.8964862
W Salem St,BYU,0.5439857
Charleston So,Old Dominion,0.67547935
