Predicted Winner,Underdog
Arizona St,Providence
Clemson,Ga Southern
Missouri St,Illinois
Kennesaw,Denver
Col Charleston,SMU
New Mexico,South Alabama
Kansas,MTSU
Alabama A&M,Florida Intl
Tulane,Michigan
Florida A&M,SF Austin
Colorado,Birmingham So
Oral Roberts,Navy
Florida St,Centenary
Texas Tech,N Illinois
Tennessee Tech,Arizona
Mercyhurst,Furman
Pacific,Rider
Wake Forest,WKU
Michigan,Stony Brook
Mississippi St,Alliant Intl
Austin Peay,UC Davis
Austin Peay,Nicholls St
Florida,Loyola-Chicago
Longwood,Oakland
MTSU,N Colorado
WI Milwaukee,Florida St
LSU,Ohio
Tennessee St,W Texas A&M
Washington St,Cincinnati
Centenary,Creighton
Bowling Green,UT San Antonio
Southern Miss,Stonehill
Richmond,Princeton
Mt St Mary's,Central Conn
Colorado St,Houston
VMI,Texas St
La Salle,Centenary
E Illinois,Winthrop
Florida Intl,St Francis PA
Stanford,E Washington
North Dakota,Marshall
Michigan St,Hampton
Siena,Stetson
IL Chicago,VCU
Morgan St,VCU
Iowa,Southern Utah
Louisiana Tech,CS Northridge
Georgia St,Utah St
N Dakota St,W Illinois
Arizona,Navy
Holy Cross,Columbia
Marquette,Rhode Island
San Diego St,Campbell
Montana,Armstrong St
Binghamton,Hofstra
Cal Baptist,W Carolina
Delaware St,Bellarmine
Memphis,Brooklyn
Auburn,Austin Peay
Texas A&M,Arizona
Montana,Norfolk St
C Michigan,LIU Brooklyn
Air Force,Incarnate Word
Nicholls St,New Orleans
BYU,American Univ
Georgia St,Bethune-Cookman
Memphis,Siena
NE Illinois,Central Conn
MTSU,Hampton
Portland,Iona
Pepperdine,Ark Pine Bluff
American Univ,Minnesota
UC Davis,Oregon
North Dakota,Florida
Manhattan,Furman
TN Martin,St Francis PA
Alliant Intl,Nicholls St
Denver,Duquesne
UC Irvine,Wagner
San Diego,Sacred Heart
Arkansas,Mercyhurst
Grand Canyon,Prairie View
St Francis PA,NC Central
Old Dominion,Missouri KC
E Illinois,UNLV
Alabama St,Lafayette
La Salle,Cornell
Detroit,Utah Tech
Florida,UCLA
Yale,E Washington
FL Atlantic,Nevada
Pepperdine,New Orleans
E Michigan,Notre Dame
Miami OH,UC Davis
Presbyterian,Vermont
Austin Peay,Cent Arkansas
IUPUI,UNC Asheville
UC Santa Barbara,South Dakota
UNC Asheville,Michigan St
La Salle,San Diego St
Oklahoma St,Tarleton St
Bethune-Cookman,La Salle
Alliant Intl,Missouri
Seton Hall,Southern Utah
St Thomas MN,F Dickinson
Texas Tech,Oregon St
S Carolina St,Seattle
San Diego,Norfolk St
SMU,Loyola MD
Rutgers,Quinnipiac
South Alabama,James Madison
Austin Peay,Vermont
Oklahoma St,Fordham
Kent,N Colorado
West Virginia,Dayton
Baylor,Missouri
NC A&T,Pacific
Lehigh,East Texas A&M
Wofford,Clemson
Washington,Bradley
San Diego St,Gonzaga
UAB,Citadel
Old Dominion,F Dickinson
UT Arlington,Florida St
Tulsa,W Michigan
ULM,Stanford
TAM C. Christi,George Mason
Virginia Tech,Mississippi
UC Davis,South Carolina
Oklahoma St,East Carolina
Dartmouth,BYU
Detroit,Bucknell
High Point,Indiana
Florida St,New Hampshire
MS Valley St,Utah
Boston College,St Bonaventure
Citadel,Hawaii
Wright St,Ohio St
St Thomas MN,Nevada
Arizona,Villanova
NE Omaha,San Jose St
Belmont,Utah Tech
Loyola MD,McNeese St
St Thomas MN,Texas St
Binghamton,Utica
Illinois,C Michigan
Texas Tech,Kentucky
North Florida,Nevada
Lipscomb,Bowling Green
North Texas,Chattanooga
E Kentucky,Montana
VMI,MD E Shore
Colorado,Nebraska
UNC Asheville,Sacred Heart
NC State,Davidson
Marquette,Arkansas St
WI Milwaukee,Wright St
UT Arlington,Old Dominion
Mississippi St,SIUE
Oregon,St Bonaventure
Santa Clara,Arkansas St
Lamar,Virginia
Quinnipiac,Colorado St
North Florida,Austin Peay
Morris Brown,NC Central
Le Moyne,TX Southern
Washington St,UTRGV
Denver,ULM
Southern Indiana,Dartmouth
MS Valley St,Youngstown St
Indiana,Brooklyn
Binghamton,Xavier
Troy,Armstrong St
Longwood,W Texas A&M
Arizona St,Memphis
James Madison,Bellarmine
Oregon,Bellarmine
NC A&T,UAB
Oregon St,La Salle
Marshall,NE Omaha
Florida Intl,San Diego St
Drexel,Tarleton St
San Diego St,TX Southern
Akron,Minnesota
Northeastern,Louisiana
San Jose St,Mercer
Bellarmine,Miami FL
Robert Morris,Bellarmine
Missouri,Radford
CS Fullerton,Mississippi
Valparaiso,East Texas A&M
Central Conn,Gonzaga
Stony Brook,Rutgers
San Francisco,Bryant
Lafayette,Jacksonville
Loyola MD,Marquette
Manhattan,Alabama A&M
Nicholls St,Kent
Duke,Michigan St
Kansas,New Orleans
South Alabama,Grambling
LSU,Wake Forest
San Jose St,Oklahoma
N Kentucky,Bowling Green
Bucknell,Georgia
Bowling Green,Furman
Texas A&M,Tennessee Tech
MS Valley St,Rice
Bellarmine,Northern Arizona
Lafayette,Auburn
Merrimack,St Peter's
UC San Diego,Arkansas
Akron,Fresno St
NC Central,LIU Brooklyn
Hawaii,High Point
USC,Binghamton
UAB,Clemson
Valparaiso,Abilene Chr
IL Chicago,Weber St
Arkansas,Bucknell
Georgia Tech,Holy Cross
Kennesaw,St Peter's
NC A&T,Baylor
Central Conn,Manhattan
UCF,Colorado St
Furman,UC Davis
Tennessee,Loyola-Chicago
Villanova,Dartmouth
Georgetown,Dartmouth
California,Rhode Island
Army,East Carolina
Chicago St,Cincinnati
Brown,South Carolina
Louisiana,Utah Valley
Notre Dame,Kentucky
Radford,Queens NC
SC Upstate,Troy
Pepperdine,Bryant
Miami OH,Duke
Hardin-Simmons,Montana St
MTSU,Valparaiso
Tarleton St,Alabama
Appalachian St,Cleveland St
Iowa,WI Milwaukee
Minnesota,Mississippi St
Boston Univ,New Mexico St
Holy Cross,High Point
Fordham,S Carolina St
F Dickinson,Presbyterian
Northeastern,East Texas A&M
Marist,Air Force
Chattanooga,CS Fullerton
Massachusetts,Houston Chr
Oregon St,Gardner Webb
NJIT,VCU
Oregon,IL Chicago
Fairfield,Merrimack
SE Louisiana,Tennessee Tech
Quinnipiac,SE Missouri St
Seattle,Central Conn
Fresno St,East Texas A&M
Providence,Manhattan
Fordham,Oakland
Morehead St,High Point
UC Davis,Louisiana
Abilene Chr,Alabama
W Michigan,Brooklyn
Bryant,Colgate
San Francisco,Evansville
Denver,Cal Baptist
Austin Peay,Southern Miss
Brooklyn,Charlotte
Ohio,Lafayette
NE Illinois,Mercer
Bowling Green,Seton Hall
Maine,IL Chicago
CS Sacramento,Arkansas
Robert Morris,St Francis PA
Tennessee Tech,Wyoming
Morehead St,Northern Arizona
W Michigan,Cincinnati
North Texas,Texas
Southern Indiana,Loy Marymount
Cent Arkansas,Wyoming
Charlotte,LIU Brooklyn
Kennesaw,CS Northridge
NC State,Texas A&M
MS Valley St,Tennessee St
Iowa,VMI
SC Upstate,Mississippi
West Virginia,Northeastern
Northwestern LA,Stony Brook
Sam Houston St,UC Davis
UTRGV,California
Ga Southern,Augusta
Oklahoma St,East Carolina
Grand Canyon,Michigan
Loy Marymount,E Kentucky
Lafayette,Delaware
Drake,Lamar
Fairfield,Oklahoma St
SMU,South Alabama
Charlotte,Gardner Webb
Cal Baptist,UCLA
MD E Shore,Ark Pine Bluff
Northeastern,Ohio St
Washington,Appalachian St
Texas A&M,Vermont
Niagara,Grambling
UC Riverside,Houston Chr
Davidson,Minnesota
Oklahoma,Belmont
Dartmouth,St Francis NY
Rhode Island,Texas A&M
Siena,S Carolina St
McNeese St,Grand Canyon
NE Illinois,Seton Hall
Kansas St,Bucknell
W Texas A&M,Memphis
Armstrong St,McNeese St
Hardin-Simmons,Presbyterian
New Mexico,WI Green Bay
WI Milwaukee,Cal Poly
Montana St,Louisiana
Boise St,Wofford
Hampton,Chattanooga
Ark Little Rock,UNC Wilmington
Cal Baptist,Navy
SF Austin,Xavier
Minnesota,Iona
Maryland,Akron
Rutgers,Howard
UNLV,UCF
Texas A&M,Hofstra
G Washington,Le Moyne
New Mexico,SE Missouri St
Denver,Georgetown
Air Force,Maine
Sam Houston St,New Mexico
Gardner Webb,New Hampshire
Alabama,Fordham
Michigan St,W Texas A&M
Brooklyn,Southern Utah
Santa Clara,Jacksonville St
W Carolina,Utah Tech
Lindenwood,Providence
DePaul,Utica
Canisius,Hardin-Simmons
Nebraska,C Michigan
Bellarmine,W Carolina
Texas Tech,St Bonaventure
Duke,Savannah St
Cincinnati,Lipscomb
Loy Marymount,FGCU
Alabama,CS Northridge
San Francisco,Cornell
Jackson St,Nebraska
VCU,Hardin-Simmons
N Kentucky,Tennessee Tech
Southern Utah,Auburn
CS Northridge,Virginia Tech
Memphis,McNeese St
Idaho,Louisville
SE Louisiana,Loyola-Chicago
E Washington,C Michigan
Pacific,East Carolina
Colorado St,Minnesota
Valparaiso,Holy Cross
Vanderbilt,Nevada
Pittsburgh,Ball St
San Diego St,S Dakota St
WI Milwaukee,Marquette
Mercyhurst,Bucknell
Hofstra,Florida
Central Conn,Ohio
Central Conn,Kansas St
Quinnipiac,St Peter's
Idaho St,Texas Tech
UCF,Akron
E Kentucky,Weber St
Towson,South Florida
Creighton,MD E Shore
William & Mary,UNC Greensboro
Jackson St,San Diego St
Tennessee St,Princeton
Niagara,E Kentucky
NE Omaha,Mississippi St
Cent Arkansas,St Joseph's PA
St Louis,Brown
St Thomas MN,BYU
WKU,N Dakota St
NJIT,North Dakota
Incarnate Word,W Illinois
Colorado,UNC Asheville
USC,Winthrop
Utica,Hampton
Bellarmine,Arkansas St
West Virginia,Col Charleston
St Thomas MN,UT San Antonio
Lipscomb,Wisconsin
Baylor,Villanova
Iowa St,Gonzaga
UC Davis,TX Southern
NE Omaha,S Dakota St
IUPUI,Georgia
North Texas,Binghamton
East Texas A&M,Arkansas St
Oklahoma St,F Dickinson
Wyoming,Duke
S Carolina St,Okla City
Utah Tech,WKU
Purdue,Illinois St
Wright St,Lindenwood
Houston Chr,Drexel
Mt St Mary's,Prairie View
Rhode Island,Colorado St
Alliant Intl,UNC Asheville
Colorado St,Troy
Mt St Mary's,SE Louisiana
Xavier,E Illinois
Princeton,Binghamton
E Kentucky,Troy
Maine,NC A&T
North Alabama,E Illinois
Princeton,N Colorado
Gardner Webb,Jacksonville
Creighton,F Dickinson
Southern Utah,Nevada
Northern Arizona,Lafayette
Northwestern LA,Augusta
Chicago St,Oregon St
Kansas,TAM C. Christi
MS Valley St,Colorado
UAB,Drake
Indiana St,SMU
Radford,ETSU
Bethune-Cookman,Northern Iowa
Drake,Boston College
Auburn,New Orleans
Vermont,Weber St
Coppin St,Gonzaga
Utah St,South Carolina
Vanderbilt,San Francisco
UC Davis,Hawaii
FL Atlantic,Ohio St
Butler,High Point
Seattle,NJIT
Hawaii,E Washington
ULM,Butler
Elon,Florida
Marquette,Columbia
Loy Marymount,NJIT
Washington St,Minnesota
St John's,Temple
Harvard,Temple
Wofford,Prairie View
DePaul,Monmouth NJ
Alabama A&M,Georgia St
Charlotte,Creighton
Bellarmine,C Michigan
MA Lowell,Queens NC
Furman,W Michigan
Presbyterian,LIU Brooklyn
Utah St,Hartford
South Alabama,UCF
Nicholls St,St Joseph's PA
Columbia,N Kentucky
MD E Shore,ULM
Incarnate Word,Pacific
Southern Indiana,TAM C. Christi
NC A&T,Tulane
DePaul,Creighton
Oklahoma,WKU
Ohio St,Oklahoma St
St Bonaventure,Col Charleston
Dayton,Cal Baptist
Sacred Heart,Samford
Texas St,Arizona St
Xavier,Siena
Campbell,Idaho St
Utah Tech,Mt St Mary's
Southern Miss,Michigan St
South Carolina,Towson
Gardner Webb,Norfolk St
Liberty,Murray St
TAM C. Christi,Grand Canyon
Howard,Butler
Coastal Car,Tennessee St
Utah,Stanford
Robert Morris,Ohio St
Portland St,SE Missouri St
Fresno St,Seton Hall
MS Valley St,Marshall
Tarleton St,Temple
Creighton,Baylor
WI Green Bay,Sacred Heart
Delaware St,Connecticut
SC Upstate,Sam Houston St
Oklahoma St,North Florida
WKU,Le Moyne
Wichita St,Miami FL
UC San Diego,Buffalo
NJIT,MA Lowell
Loyola MD,Idaho
Penn,Connecticut
New Mexico,St Francis NY
VCU,Delaware
Duke,Youngstown St
Louisiana Tech,Houston Chr
West Virginia,Oklahoma St
IL Chicago,W Illinois
Southern Utah,Loyola-Chicago
Ball St,SMU
UNLV,Prairie View
Northwestern LA,Louisville
Alabama St,Utah Tech
New Mexico St,UMBC
Lindenwood,NC Central
UCLA,Notre Dame
Idaho,NJIT
Merrimack,Northern Iowa
Memphis,F Dickinson
South Dakota,Butler
Morehead St,TAM C. Christi
Kentucky,Niagara
Coppin St,Kent
S Carolina St,Cleveland St
James Madison,Utah
Jacksonville,Mississippi St
Northeastern,San Francisco
Winthrop,VMI
Merrimack,St Francis PA
UMBC,Jacksonville St
Arkansas,Toledo
NE Illinois,Idaho
Texas A&M,NE Omaha
Wisconsin,Penn
Okla City,Davidson
Northern Arizona,Washington
NC A&T,E Michigan
Dayton,Northern Arizona
Morehead St,Arkansas
Liberty,Furman
Miami OH,WI Green Bay
UT Arlington,E Kentucky
Coastal Car,Dartmouth
West Virginia,Iona
NE Illinois,Lipscomb
New Mexico St,Missouri KC
Buffalo,Michigan
Houston,Missouri St
San Diego,Belmont
TX Southern,E Michigan
San Jose St,Minnesota
Auburn,Manhattan
Stetson,Jacksonville St
Syracuse,MD E Shore
North Dakota,San Jose St
Montana,LIU Brooklyn
UT San Antonio,Wright St
NE Omaha,Coastal Car
C Michigan,NC Central
Duke,Austin Peay
Indiana St,Texas Tech
TN Martin,Fordham
Oregon St,Arkansas St
Houston Chr,Washington St
St Francis NY,Yale
Kentucky,Gonzaga
W Texas A&M,CS Fullerton
Armstrong St,St Francis NY
Utah St,East Texas A&M
Delaware,Idaho
NE Omaha,Savannah St
E Illinois,Dartmouth
Washington,William & Mary
Okla City,Minnesota
Long Beach St,Denver
UNLV,SE Louisiana
Tennessee Tech,Cleveland St
NJIT,Clemson
Wisconsin,St Peter's
Arkansas,South Dakota
UT San Antonio,Prairie View
Miami FL,CS Bakersfield
Michigan St,Southern Univ
UNLV,Bradley
Virginia Tech,Duquesne
Boise St,Florida Intl
MA Lowell,Louisiana
Louisiana,Oregon
Ball St,California
Howard,Wagner
Mississippi,Northwestern
Holy Cross,E Michigan
CS Bakersfield,Delaware St
Youngstown St,La Salle
St Francis NY,Morgan St
Miami OH,Texas A&M
Texas St,Citadel
St Mary's CA,UTEP
Quinnipiac,New Orleans
Arizona,UC Davis
Lipscomb,Monmouth NJ
Toledo,CS Fullerton
Michigan,Alabama St
Ga Southern,Maryland
Northeastern,Cleveland St
North Dakota,W Salem St
West Georgia,LSU
Le Moyne,Providence
E Michigan,CS Fullerton
Southern Univ,MTSU
NE Illinois,ETSU
W Illinois,Vermont
Iowa,New Mexico
Quinnipiac,Elon
Robert Morris,USC
VCU,Maryland
Portland,Fairfield
Georgia Tech,Maryland
DePaul,Mississippi
UCF,Virginia Tech
Winthrop,St Francis NY
Liberty,Ark Little Rock
Temple,Utah Tech
Ohio,Delaware
San Jose St,Northwestern LA
East Texas A&M,Lipscomb
Mercer,Charleston So
Florida,CS Sacramento
Richmond,Bucknell
Maine,Fairfield
Mercyhurst,Minnesota
Duke,SE Missouri St
MTSU,Hofstra
SE Louisiana,Grambling
James Madison,Lindenwood
Utah Valley,Charlotte
Bucknell,Merrimack
Marquette,Denver
Radford,Okla City
Northern Iowa,TN Martin
Colorado St,Stetson
New Hampshire,Colorado
Weber St,Dayton
UNC Wilmington,Nicholls St
Ga Southern,Niagara
Charlotte,East Carolina
Bryant,Miami OH
Arizona,New Hampshire
Hampton,McNeese St
Ark Pine Bluff,Utica
Clemson,FGCU
North Dakota,Savannah St
Kansas St,CS Bakersfield
Wofford,North Dakota
E Michigan,St John's
Kentucky,WKU
Delaware,Stony Brook
Memphis,Florida A&M
Holy Cross,Lehigh
Coppin St,Citadel
Stony Brook,NC A&T
Portland,West Georgia
Norfolk St,Brown
Alabama A&M,Birmingham So
Wagner,New Hampshire
Loy Marymount,Santa Clara
Detroit,Morgan St
Brown,Washington
Florida Intl,Portland
W Carolina,Nebraska
F Dickinson,TN Martin
E Michigan,West Virginia
Georgia,Coppin St
Bucknell,Maine
Holy Cross,North Florida
Wake Forest,Cal Baptist
Grambling,Campbell
W Michigan,Bethune-Cookman
Seton Hall,Syracuse
South Florida,San Jose St
SUNY Albany,Charleston So
WKU,Oral Roberts
Tennessee St,Grand Canyon
UNC Greensboro,Louisiana
CS Bakersfield,Sacred Heart
G Washington,Wright St
Toledo,Belmont
Le Moyne,LIU Brooklyn
Morehead St,Idaho St
G Washington,Boston College
Ohio,Nevada
Loy Marymount,Prairie View
George Mason,SE Missouri St
Colorado,Arizona St
Samford,Mississippi
Villanova,Mississippi
Missouri,Fresno St
TCU,Rhode Island
Colorado St,Grambling
South Carolina,TCU
Stony Brook,Louisiana Tech
Alabama A&M,Houston
Manhattan,Nevada
VCU,Arizona St
Hampton,Kansas
Cent Arkansas,W Carolina
Illinois,New Orleans
Niagara,Drake
Utah,Portland
Utah Valley,UC Riverside
Dayton,Utah St
Longwood,Northeastern
SMU,Cornell
Arizona St,Bryant
James Madison,SIUE
Monmouth NJ,Kansas
Texas A&M,Ball St
Kennesaw,Portland
Arkansas,Southern Univ
Hawaii,Northwestern LA
E Washington,Michigan
Washington St,Birmingham So
Birmingham So,Ga Southern
UT San Antonio,SIUE
Morgan St,Southern Indiana
Norfolk St,Chattanooga
Duquesne,UTEP
WI Green Bay,Detroit
TCU,Idaho St
WI Green Bay,Akron
Arizona St,Fordham
Prairie View,La Salle
Gonzaga,VMI
Tennessee St,W Michigan
Morris Brown,VCU
Michigan St,Tennessee
Bryant,Marquette
Montana,TCU
Wake Forest,Duquesne
Centenary,Notre Dame
Gonzaga,W Michigan
Binghamton,NC A&T
Yale,Savannah St
Creighton,Rider
Portland,Valparaiso
Purdue,Drexel
TX Southern,FGCU
James Madison,NC State
Mt St Mary's,UTEP
MS Valley St,Hampton
Iona,New Mexico
UCF,Wright St
Oregon,Grand Canyon
Boise St,Princeton
Col Charleston,Portland
Penn,South Florida
Houston Chr,Marquette
Washington,W Texas A&M
Utah Tech,Cent Arkansas
Missouri KC,New Mexico St
Texas,FL Atlantic
New Mexico St,Longwood
La Salle,UT San Antonio
Notre Dame,Michigan St
Providence,South Alabama
Ohio,Drexel
Chattanooga,Mercyhurst
Abilene Chr,Cent Arkansas
Jacksonville St,Bryant
W Salem St,ETSU
New Mexico,North Dakota
Weber St,North Florida
Drexel,E Michigan
Siena,West Georgia
Jacksonville,Colorado St
Oklahoma St,Abilene Chr
Old Dominion,Northeastern
Notre Dame,Kentucky
Texas,Canisius
North Carolina,Utah Valley
Wofford,Richmond
Villanova,Mt St Mary's
CS Northridge,Drake
Northeastern,NE Illinois
Miami FL,MA Lowell
James Madison,St Peter's
East Texas A&M,Cal Poly
Georgia St,Charlotte
MD E Shore,Appalachian St
NJIT,W Carolina
Augusta,E Michigan
Southern Univ,UCF
SC Upstate,Hartford
Wagner,TN Martin
Liberty,Santa Clara
Centenary,Morris Brown
Belmont,St Joseph's PA
Savannah St,ULM
Birmingham So,Tulsa
Iowa,Bradley
Manhattan,Tennessee St
Maryland,Portland
Northern Iowa,Appalachian St
UTEP,Jackson St
Florida St,Duke
Indiana St,Bradley
LSU,E Illinois
Oklahoma,North Texas
Yale,ETSU
WKU,East Carolina
Iowa St,Penn St
Fresno St,WKU
Cal Poly,Yale
UAB,Richmond
IL Chicago,Iowa
San Jose St,La Salle
Duke,Okla City
Nebraska,Denver
S Illinois,Brooklyn
SMU,Ark Pine Bluff
NJIT,St Francis NY
NC Central,American Univ
Mississippi,Tennessee
MS Valley St,New Hampshire
Utah St,Southern Univ
Tennessee Tech,Northwestern LA
Stanford,Creighton
NE Illinois,Air Force
UNC Greensboro,Colorado
SF Austin,SE Missouri St
Idaho,Detroit
E Kentucky,N Illinois
Missouri,Buffalo
Florida A&M,NJIT
UC Riverside,Savannah St
St Bonaventure,Jacksonville
Texas A&M,Montana St
Dayton,Butler
SE Missouri St,Air Force
Colorado,Abilene Chr
Charlotte,Bradley
Fresno St,SUNY Albany
Winthrop,Brooklyn
Bucknell,Youngstown St
Idaho St,W Texas A&M
Campbell,MS Valley St
Canisius,Toledo
Arkansas St,Ball St
Hofstra,Cal Baptist
Army,Hartford
F Dickinson,PFW
Texas Tech,New Hampshire
E Washington,Binghamton
Howard,Creighton
N Illinois,Idaho
Le Moyne,NC A&T
E Illinois,San Jose St
FGCU,Buffalo
Niagara,Mercyhurst
TN Martin,North Texas
Hartford,East Texas A&M
Elon,Mercer
Dartmouth,Central Conn
SMU,Col Charleston
Louisiana,UNLV
Nicholls St,Syracuse
Towson,Missouri
Bucknell,Baylor
Utah,Grand Canyon
Bellarmine,Oregon St
Armstrong St,PFW
TCU,Stanford
Presbyterian,Radford
Villanova,Chattanooga
IL Chicago,Boston Univ
Birmingham So,CS Bakersfield
Wofford,Valparaiso
Tulane,Liberty
Alliant Intl,SUNY Albany
Georgetown,PFW
Arizona,Idaho St
SC Upstate,MD E Shore
Grambling,Hampton
Tennessee Tech,Wofford
Denver,Georgia Tech
TN Martin,Notre Dame
Morris Brown,Quinnipiac
Indiana St,BYU
Northwestern,CS Bakersfield
Chicago St,Alabama
Nevada,Long Beach St
Samford,Tulsa
Northern Iowa,Ark Pine Bluff
S Carolina St,St Joseph's PA
La Salle,Harvard
Lehigh,SC Upstate
Stonehill,Mercyhurst
Jacksonville St,Valparaiso
Arizona St,West Virginia
Boise St,CS Bakersfield
E Illinois,Oregon
Marshall,Portland
N Kentucky,San Jose St
St Thomas MN,Syracuse
Radford,Grambling
Northeastern,W Carolina
Valparaiso,Armstrong St
Georgetown,Georgia St
Tulane,Georgetown
Delaware,UT San Antonio
Duquesne,George Mason
Columbia,UT Arlington
Holy Cross,William & Mary
Kansas,UT Arlington
Lipscomb,W Texas A&M
San Diego,Morehead St
Louisiana Tech,San Diego St
Stony Brook,Oral Roberts
Old Dominion,Gonzaga
NE Illinois,Morris Brown
Birmingham So,Coastal Car
Central Conn,Indiana
Dayton,NC State
Murray St,Birmingham So
New Mexico,Pittsburgh
TAM C. Christi,CS Fullerton
Austin Peay,Armstrong St
Tennessee,Ohio St
NC Central,Charleston So
Monmouth NJ,Houston Chr
Monmouth NJ,Oregon St
ETSU,Columbia
Southern Utah,Portland St
Maine,Charlotte
IUPUI,LIU Brooklyn
Norfolk St,Pittsburgh
Tulane,Arkansas St
Providence,Coppin St
Stony Brook,Quinnipiac
Indiana St,SF Austin
Florida Intl,E Washington
Wake Forest,Fresno St
Arizona,UNLV
SF Austin,Okla City
Seton Hall,Cent Arkansas
Mississippi,Weber St
Boston Univ,Bradley
Nicholls St,CS Northridge
Virginia,East Carolina
St Francis NY,San Jose St
Wisconsin,Toledo
Maryland,Missouri
Texas,Portland St
UNC Wilmington,Prairie View
Pepperdine,UC Riverside
Iowa,BYU
Oklahoma,St Francis PA
Auburn,Army
Montana St,Illinois St
Fairfield,Pepperdine
Portland St,Bowling Green
Nebraska,BYU
NE Omaha,Norfolk St
Kent,La Salle
Buffalo,Birmingham So
Siena,W Salem St
UTRGV,Stanford
Siena,E Illinois
Samford,Loyola MD
VCU,Denver
Missouri,Oral Roberts
Ark Little Rock,Tennessee St
Missouri St,San Diego St
Fordham,Arkansas St
Cal Baptist,Ball St
Utah Valley,Howard
E Illinois,Gardner Webb
Kent,Northeastern
St Francis PA,Tulsa
CS Fullerton,Evansville
UNC Wilmington,Alliant Intl
Missouri St,San Diego St
Santa Clara,Texas
S Illinois,Jacksonville
Arizona,Savannah St
Mercyhurst,New Mexico
Kent,Ark Little Rock
Alabama A&M,Virginia Tech
WI Milwaukee,Maryland
Merrimack,Alabama
Pepperdine,Augusta
Illinois,Columbia
Mt St Mary's,Georgia
Cent Arkansas,Samford
Butler,W Texas A&M
Montana,W Salem St
Kentucky,Arizona St
Lafayette,Savannah St
Stony Brook,Oklahoma St
Chattanooga,St Mary's CA
Michigan St,IUPUI
Col Charleston,SIUE
Idaho St,Gonzaga
N Kentucky,Gardner Webb
Penn,ETSU
Fairfield,Utah
Northern Iowa,NC State
Boise St,Le Moyne
Ohio St,SF Austin
Jackson St,Nevada
Michigan,Pittsburgh
St Mary's CA,Alabama
West Georgia,Abilene Chr
Portland St,Bethune-Cookman
Evansville,San Diego
American Univ,Notre Dame
South Dakota,UNLV
Penn St,CS Northridge
Lamar,TX Southern
Tennessee St,Penn St
NC Central,Nicholls St
Jacksonville St,Pittsburgh
Illinois St,Oral Roberts
Central Conn,Gonzaga
Gardner Webb,SE Louisiana
Michigan,Buffalo
Towson,UC San Diego
Alcorn St,South Alabama
TCU,Nicholls St
TAM C. Christi,Oklahoma St
Princeton,Maryland
California,South Dakota
Le Moyne,Hardin-Simmons
Washington St,Buffalo
Washington St,Marquette
Wichita St,Wisconsin
Arkansas St,Prairie View
SC Upstate,Michigan St
Kennesaw,Northern Iowa
Valparaiso,Robert Morris
Gardner Webb,UNLV
Liberty,Northeastern
Buffalo,Morris Brown
West Georgia,UT San Antonio
Citadel,North Dakota
Morehead St,Georgia Tech
UTRGV,Louisiana
St Thomas MN,Boise St
TAM C. Christi,LSU
Richmond,G Washington
Youngstown St,Morris Brown
Pepperdine,Florida Intl
Florida,Chattanooga
Campbell,Portland St
Louisiana,Ohio
Georgetown,Army
Monmouth NJ,Stony Brook
Manhattan,Auburn
Alabama St,Northern Arizona
Long Beach St,Mercer
Wyoming,ETSU
Richmond,N Colorado
George Mason,W Texas A&M
Elon,Augusta
Portland,Tennessee
Florida,High Point
UNC Wilmington,New Orleans
Portland St,Northern Arizona
Georgetown,Idaho
Georgia Tech,Long Beach St
Bellarmine,Penn St
McNeese St,South Carolina
Howard,W Michigan
Wake Forest,UCF
NC State,Oakland
Ark Little Rock,Rutgers
Abilene Chr,N Illinois
North Dakota,Tulsa
Wichita St,CS Fullerton
Oklahoma St,Virginia
Birmingham So,Lindenwood
St Thomas MN,UMBC
SIUE,Louisiana Tech
Dayton,Hofstra
Illinois,C Michigan
Oregon St,NC A&T
Purdue,Arkansas
Belmont,NE Illinois
San Francisco,Nebraska
Bellarmine,Nevada
Boston College,Butler
Citadel,Texas St
Incarnate Word,Merrimack
VCU,Rutgers
Prairie View,Elon
UCLA,Morgan St
MS Valley St,Tennessee St
CS Fullerton,UNC Greensboro
South Dakota,George Mason
Delaware,E Illinois
Illinois St,Monmouth NJ
F Dickinson,E Michigan
Delaware,William & Mary
CS Fullerton,Buffalo
North Florida,William & Mary
Citadel,Valparaiso
Colorado St,Fairfield
Bowling Green,Montana St
Hampton,WKU
Bucknell,UTEP
Austin Peay,Massachusetts
North Texas,Towson
N Kentucky,UAB
Murray St,Wyoming
MD E Shore,Michigan St
Utah,Pittsburgh
San Diego St,Missouri
Baylor,UTRGV
Marshall,Oklahoma St
New Orleans,Charlotte
Wisconsin,Loyola MD
St Bonaventure,Navy
Texas,SUNY Albany
Utah St,Mercer
ETSU,Marshall
UTEP,UC Riverside
Maine,Utah St
W Illinois,USC
Iowa,Seattle
Arizona,Army
Georgetown,Texas A&M
Creighton,Grand Canyon
Alcorn St,Charlotte
Florida Intl,Robert Morris
Cleveland St,Oregon St
Davidson,Boise St
Morris Brown,Jacksonville St
NJIT,Appalachian St
Cleveland St,Murray St
George Mason,Prairie View
VCU,James Madison
Montana,Akron
St Thomas MN,Hofstra
Jacksonville,Massachusetts
TN Martin,High Point
Creighton,Morehead St
Alabama A&M,Cornell
Colorado St,Stanford
Arkansas St,N Colorado
Valparaiso,Howard
